sentence,hypothesis_simple,hypothesis_traditional,clean_sentence,clean_hypothesis_simple,clean_hypothesis_traditional,training_time
科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园。,"科博客股国家公园,也是美国的国家公园中游客书最少的国家公园","科博客股国家公园,也是美国的国家公园中游客书最少的国家公园",科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园,科博客股国家公园 也是美国的国家公园中游客书最少的国家公园,科博客股国家公园 也是美国的国家公园中游客书最少的国家公园,1196.6126444339752
治所在怀道县。,至所在怀道前,至所在懷道前,治所在怀道县,至所在怀道前,至所在懷道前,1196.6126444339752
达拉斯龙具有许多自衍征。,大拉斯隆具有许多字眼中,大拉斯隆具有許多字眼中,达拉斯龙具有许多自衍征,大拉斯隆具有许多字眼中,大拉斯隆具有許多字眼中,1196.6126444339752
绳金塔始建于唐朝天佑年间。,神经塔实践于唐朝天有年间,神经塔实践于唐朝天有年间,绳金塔始建于唐朝天佑年间,神经塔实践于唐朝天有年间,神经塔实践于唐朝天有年间,1196.6126444339752
此外，多位积极的活动家也参与了典礼。,此外多位积极的活动家也参与了点力,此外多位積極的活動家也參與了點力,此外 多位积极的活动家也参与了典礼,此外多位积极的活动家也参与了点力,此外多位積極的活動家也參與了點力,1196.6126444339752
案中三名被告分别是莫世健、李玉培及杨曼曼，当中李玉培和杨曼曼为从犯。,安中三名被告分别是墨世间离域培及养漫漫当中离域培和养漫漫为从饭,安中三名被告分别是墨世间离域培及养漫漫当中离域培和养漫漫为从饭,案中三名被告分别是莫世健 李玉培及杨曼曼 当中李玉培和杨曼曼为从犯,安中三名被告分别是墨世间离域培及养漫漫当中离域培和养漫漫为从饭,安中三名被告分别是墨世间离域培及养漫漫当中离域培和养漫漫为从饭,1196.6126444339752
而零声母符号表示。,而零生如符号表示,而零生如符號表示,而零声母符号表示,而零生如符号表示,而零生如符號表示,1196.6126444339752
过去的研究报告以及来源借助于新科技数位人类学的帮助。,"过去的研究报告以及来源,借助于新科技数位人类学的帮助","過去的研究報告以及來源,藉助於新科技數位人類學的幫助",过去的研究报告以及来源借助于新科技数位人类学的帮助,过去的研究报告以及来源 借助于新科技数位人类学的帮助,過去的研究報告以及來源 藉助於新科技數位人類學的幫助,1196.6126444339752
哈德利也设计了位于皮尔斯县的。,哈德利也设计了位于皮尔斯线的,哈德利也设计了位于皮尔斯线的,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯线的,哈德利也设计了位于皮尔斯线的,1196.6126444339752
在义大利，摩托车也在低排放区的适用范围之内。,"在义大利,摩托车也在低排放区的适用范围之内","在義大利,摩托車也在低排放區的適用範圍之內",在义大利 摩托车也在低排放区的适用范围之内,在义大利 摩托车也在低排放区的适用范围之内,在義大利 摩托車也在低排放區的適用範圍之內,1196.6126444339752
杰罗姆·鲍威尔，出身法律界，曾任律师、投资银行家。,"杰罗姆·鲍威尔出生法律界,残任律师投资银行家。","傑羅姆·鮑威爾出生法律界,殘任律師投資銀行家。",杰罗姆 鲍威尔 出身法律界 曾任律师 投资银行家,杰罗姆 鲍威尔出生法律界 残任律师投资银行家,傑羅姆 鮑威爾出生法律界 殘任律師投資銀行家,1196.6126444339752
季子可以指：,最速的笔记,最速的筆記,季子可以指,最速的笔记,最速的筆記,1196.6126444339752
这给他游遍中国的机会并跟随一个老派的儒学人士学习中文。,"这给它由变中国的机会,并跟随一个老派的如学人士学习中文。","這給它由變中國的機會,並跟隨一個老派的如學人士學習中文。",这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,这给它由变中国的机会 并跟随一个老派的如学人士学习中文,這給它由變中國的機會 並跟隨一個老派的如學人士學習中文,1196.6126444339752
他杀害的女性多为按摩女。,他杀害的女性多为暗魔女,他殺害的女性多為暗魔女,他杀害的女性多为按摩女,他杀害的女性多为暗魔女,他殺害的女性多為暗魔女,1196.6126444339752
乐团经常尝试从电脑上其他音乐档案重新创作拍子，最后呈现出原有节奏的修改版本。,玉团经常常是从电脑上起它音乐大案重新创作拍子最后呈现出原有节奏的新改版版,玉团经常常是从电脑上起它音乐大案重新创作拍子最后呈现出原有节奏的新改版版,乐团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,玉团经常常是从电脑上起它音乐大案重新创作拍子最后呈现出原有节奏的新改版版,玉团经常常是从电脑上起它音乐大案重新创作拍子最后呈现出原有节奏的新改版版,1196.6126444339752
赛巴斯提阿诺·维涅尔，是一名意大利政治家和军事家。,赛巴斯提案诺威尼尔是一名义大利政治家和军事家,賽巴斯提案諾威尼爾是一名義大利政治家和軍事家,赛巴斯提阿诺 维涅尔 是一名意大利政治家和军事家,赛巴斯提案诺威尼尔是一名义大利政治家和军事家,賽巴斯提案諾威尼爾是一名義大利政治家和軍事家,1196.6126444339752
所有泛美洲羽毛球联合会辖下的会员都具有参赛资格。,所有饭美中与茫球联合会下下的会员都具有参赛资格,所有饭美中与茫球联合会下下的会员都具有参赛资格,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,所有饭美中与茫球联合会下下的会员都具有参赛资格,所有饭美中与茫球联合会下下的会员都具有参赛资格,1196.6126444339752
嘉靖四十一年，登进士第二甲第四十六名。,"加近41年,登际第2家第46名","加近41年,登际第2家第46名",嘉靖四十一年 登进士第二甲第四十六名,加近41年 登际第2家第46名,加近41年 登际第2家第46名,1196.6126444339752
遂被押于文登监狱，后转至山东省反省院。,"碎被压于纹灯监狱,后转至山东省凡行院。","碎被壓於紋燈監獄,後轉至山東省凡行院。",遂被押于文登监狱 后转至山东省反省院,碎被压于纹灯监狱 后转至山东省凡行院,碎被壓於紋燈監獄 後轉至山東省凡行院,1196.6126444339752
赵德光可以是指：,照德光可以拭据,照德光可以拭据,赵德光可以是指,照德光可以拭据,照德光可以拭据,1196.6126444339752
在位三十年去世，谥号严。,"在未三十年去世,世号言。","在未三十年去世,世號言。",在位三十年去世 谥号严,在未三十年去世 世号言,在未三十年去世 世號言,1196.6126444339752
周继，字善卿，山东济南府历城县人，民籍，明朝政治人物、进士出身。,周季自善清山东吉南府立丞现人名吉明朝正治人物近世出身,周季自善清山東吉南府立丞现人名吉明朝正治人物近世出身,周继 字善卿 山东济南府历城县人 民籍 明朝政治人物 进士出身,周季自善清山东吉南府立丞现人名吉明朝正治人物近世出身,周季自善清山東吉南府立丞现人名吉明朝正治人物近世出身,1196.6126444339752
成都博物馆通过其官网和官方微博账号发布博物馆动态。,成都博物馆通过其官网和官方微博帐号发布博物馆动态,成都博物館通過其官網和官方微博帳號發布博物館動態,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博帐号发布博物馆动态,成都博物館通過其官網和官方微博帳號發布博物館動態,1196.6126444339752
该御瓷厂主要服务于皇家，其生产出的作品常作为礼物赠送给外国政要。,该预此常主要服务与皇家其身产出的作品常作为礼物正送给外国镇药,該預此常主要服務與皇家其身產出的作品常作為禮物正送給外國鎮藥,该御瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国政要,该预此常主要服务与皇家其身产出的作品常作为礼物正送给外国镇药,該預此常主要服務與皇家其身產出的作品常作為禮物正送給外國鎮藥,1196.6126444339752
类似的目击还发生过多次，其中不乏受尊重人士。,"类似的目击还发生过多次,其中不法受尊重人士。","類似的目擊還發生過多次,其中不法受尊重人士。",类似的目击还发生过多次 其中不乏受尊重人士,类似的目击还发生过多次 其中不法受尊重人士,類似的目擊還發生過多次 其中不法受尊重人士,1196.6126444339752
李承选，字俊卿，河南开封府延津县人，民籍，明朝政治人物、进士出身。,李承璇自俊清何南开吩咐严金现任名己明朝政治人物尽事出身,李承璇自俊清何南開吩咐嚴金現任名己明朝政治人物盡事出身,李承选 字俊卿 河南开封府延津县人 民籍 明朝政治人物 进士出身,李承璇自俊清何南开吩咐严金现任名己明朝政治人物尽事出身,李承璇自俊清何南開吩咐嚴金現任名己明朝政治人物盡事出身,1196.6126444339752
黄辉祥华裔商人、运动员。,"黄辉翔,华裔商人运动员","黃輝翔,華裔商人運動員",黄辉祥华裔商人 运动员,黄辉翔 华裔商人运动员,黃輝翔 華裔商人運動員,1196.6126444339752
北戴河近代建筑群主要包括：已毁的着名近代建筑有：,"北戴河近代建筑群主要包括,移回的著名近代建筑由。","北戴河近代建築群主要包括,移回的著名近代建築由。",北戴河近代建筑群主要包括 已毁的着名近代建筑有,北戴河近代建筑群主要包括 移回的著名近代建筑由,北戴河近代建築群主要包括 移回的著名近代建築由,1196.6126444339752
周宇女，湖北省武汉市人，中华人民共和国外交部官员，中共十九大代表。,周宇女湖北神武汉士人中华人民共和国外交部官员中共持久大代表,周宇女湖北神武漢士人中華人民共和國外交部官員中共持久大代表,周宇女 湖北省武汉市人 中华人民共和国外交部官员 中共十九大代表,周宇女湖北神武汉士人中华人民共和国外交部官员中共持久大代表,周宇女湖北神武漢士人中華人民共和國外交部官員中共持久大代表,1196.6126444339752
属安定郡。,10 Defeat.,10 Defeat.,属安定郡,10 defeat,10 defeat,1196.6126444339752
现在这座建筑是弗雷德里克·萧邦学会的所在地，并且也是萧邦博物馆的展馆建筑。,现在这座建筑是福雷德里克消邦学会的所在地并且也是消邦博物馆的展馆建筑,現在這座建築是福雷德里克消邦學會的所在地並且也是消邦博物館的展館建築,现在这座建筑是弗雷德里克 萧邦学会的所在地 并且也是萧邦博物馆的展馆建筑,现在这座建筑是福雷德里克消邦学会的所在地并且也是消邦博物馆的展馆建筑,現在這座建築是福雷德里克消邦學會的所在地並且也是消邦博物館的展館建築,1196.6126444339752
在第五次“围剿”中，根据地被敌占领。,"在第五次围缴中,根据地位敌战略","在第五次圍繳中,根據地位敵戰略",在第五次 围剿 中 根据地被敌占领,在第五次围缴中 根据地位敌战略,在第五次圍繳中 根據地位敵戰略,1196.6126444339752
开平路街道是中国山东省青岛市市北区下辖的一个街道。,拆平路街道是中国山东省清导市是为去下下的一个街道,拆平路街道是中国山东省清导市是为去下下的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,拆平路街道是中国山东省清导市是为去下下的一个街道,拆平路街道是中国山东省清导市是为去下下的一个街道,1196.6126444339752
北魏设僧统，又名沙门统、都统等，是全国僧团最高领袖。,北卫社森桶又名沙门桶都同等是全国森团最高领袖,北衛社森桶又名沙門桶都同等是全國森團最高領袖,北魏设僧统 又名沙门统 都统等 是全国僧团最高领袖,北卫社森桶又名沙门桶都同等是全国森团最高领袖,北衛社森桶又名沙門桶都同等是全國森團最高領袖,1196.6126444339752
许乃番，浙江仁和人，清朝政治人物。,"徐乃番,这将任何人清朝正治人物。","徐乃番,這將任何人清朝正治人物。",许乃番 浙江仁和人 清朝政治人物,徐乃番 这将任何人清朝正治人物,徐乃番 這將任何人清朝正治人物,1196.6126444339752
上海出租车，是指在中国上海市行政区域内行驶和运营的出租车。,上海出租车是指在中国上海市行政区域内行使和运营的出租车。,上海出租车是指在中国上海市行政区域内行使和运营的出租车。,上海出租车 是指在中国上海市行政区域内行驶和运营的出租车,上海出租车是指在中国上海市行政区域内行使和运营的出租车,上海出租车是指在中国上海市行政区域内行使和运营的出租车,1196.6126444339752
孙正东，安徽灵璧人，汉族，中国共产党党员。,孙政公安徽零必人 汉族 中国共产党党员,孫政公安徽零必人 漢族 中國共產黨黨員,孙正东 安徽灵璧人 汉族 中国共产党党员,孙政公安徽零必人 汉族 中国共产党党员,孫政公安徽零必人 漢族 中國共產黨黨員,1196.6126444339752
南瓜妮歌迷俱乐部组成。,南瓜泥隔迷巨勒步祖城。,南瓜泥隔迷巨勒步祖城。,南瓜妮歌迷俱乐部组成,南瓜泥隔迷巨勒步祖城,南瓜泥隔迷巨勒步祖城,1196.6126444339752
既用排满之说疑误满人，更借灭汉之说激耸汉人，离间谗构狡谲已极。,"即用排满之说一物买人,更藉灭汉之说鸡总汉人,离见长够,脚绝已及。","即用排滿之說一物買人,更藉滅漢之說雞總漢人,離見長夠,腳絕已及。",既用排满之说疑误满人 更借灭汉之说激耸汉人 离间谗构狡谲已极,即用排满之说一物买人 更藉灭汉之说鸡总汉人 离见长够 脚绝已及,即用排滿之說一物買人 更藉滅漢之說雞總漢人 離見長夠 腳絕已及,1196.6126444339752
吉林省图书馆成立于清宣统元年，馆舍设在当时的吉林省府所在地吉林市。,"吉林省突出馆成立于青宣统元年,馆设设在当时的吉林省府所在地吉林市。","吉林省突出館成立於青宣統元年,館設設在當時的吉林省府所在地吉林市。",吉林省图书馆成立于清宣统元年 馆舍设在当时的吉林省府所在地吉林市,吉林省突出馆成立于青宣统元年 馆设设在当时的吉林省府所在地吉林市,吉林省突出館成立於青宣統元年 館設設在當時的吉林省府所在地吉林市,1196.6126444339752
流浪动物花园，全称中华民国流浪动物花园协会，是台湾的一个动物保护组织。,流浪动物花园全称中华民国流浪动物花园协会是台湾的一个动物保护组织,流浪動物花園全稱中華民國流浪動物花園協會是臺灣的一個動物保護組織,流浪动物花园 全称中华民国流浪动物花园协会 是台湾的一个动物保护组织,流浪动物花园全称中华民国流浪动物花园协会是台湾的一个动物保护组织,流浪動物花園全稱中華民國流浪動物花園協會是臺灣的一個動物保護組織,1196.6126444339752
中华民国成立后，在英属加拿大设置总领事馆。,中华民国成立后在英属加拿大设置总领事馆,中華民國成立後在英屬加拿大設置總領事館,中华民国成立后 在英属加拿大设置总领事馆,中华民国成立后在英属加拿大设置总领事馆,中華民國成立後在英屬加拿大設置總領事館,1196.6126444339752
然而，在一般的条件下，最小充分统计量总是存在的。,"然而在一般的条件下,最小充分统计量总是存在的。","然而在一般的條件下,最小充分統計量總是存在的。",然而 在一般的条件下 最小充分统计量总是存在的,然而在一般的条件下 最小充分统计量总是存在的,然而在一般的條件下 最小充分統計量總是存在的,1196.6126444339752
日军将三式炮战车定位为自走炮兼驱逐战车。,二军将三世炮战车定位为自走炮兼驱逐战车,二軍將三世炮戰車定位為自走炮兼驅逐戰車,日军将三式炮战车定位为自走炮兼驱逐战车,二军将三世炮战车定位为自走炮兼驱逐战车,二軍將三世炮戰車定位為自走炮兼驅逐戰車,1196.6126444339752
高庄可以指：,高妆可以指,高妝可以指,高庄可以指,高妆可以指,高妝可以指,1196.6126444339752
廖淑惠，出生于云林县农户，家中排行第三。,料书会出生于云林县农户 家中排行第三,料書會出生於雲林縣農戶 家中排行第三,廖淑惠 出生于云林县农户 家中排行第三,料书会出生于云林县农户 家中排行第三,料書會出生於雲林縣農戶 家中排行第三,1196.6126444339752
即西方三圣接引图。,即西方三圣接引图,即西方三圣接引圖,即西方三圣接引图,即西方三圣接引图,即西方三圣接引圖,1196.6126444339752
金城是位于美国阿肯色州拉法叶县的一个非建制地区。,京城是位于美国阿肯塞州拉法业县的一个非建制地区,京城是位於美國阿肯塞州拉法業縣的一個非建制地區,金城是位于美国阿肯色州拉法叶县的一个非建制地区,京城是位于美国阿肯塞州拉法业县的一个非建制地区,京城是位於美國阿肯塞州拉法業縣的一個非建制地區,1196.6126444339752
牵招说，袁绍承制，曹公奉天子命，辽东是下属之郡，怎么能擅称授拜职位。,"千招说,元少成志,曹公奉天子命,辽东是下属之俊,怎么能善称受败职位?","千招說,元少成志,曹公奉天子命,遼東是下屬之俊,怎麼能善稱受敗職位?",牵招说 袁绍承制 曹公奉天子命 辽东是下属之郡 怎么能擅称授拜职位,千招说 元少成志 曹公奉天子命 辽东是下属之俊 怎么能善称受败职位,千招說 元少成志 曹公奉天子命 遼東是下屬之俊 怎麼能善稱受敗職位,1196.6126444339752
唐纳·席格，是一名美国男导演和监制。,唐纳希格是一位美国男导演和监制,唐納希格是一位美國男導演和監製,唐纳 席格 是一名美国男导演和监制,唐纳希格是一位美国男导演和监制,唐納希格是一位美國男導演和監製,1196.6126444339752
根据欧洲联盟基本条约，欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内。,根据欧洲联盟基本条约欧洲中央银行设在欧元区最大的金融中心法兰克福市界线内,根據歐洲聯盟基本條約歐洲中央銀行設在歐元區最大的金融中心法蘭克福市界線內,根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内,根据欧洲联盟基本条约欧洲中央银行设在欧元区最大的金融中心法兰克福市界线内,根據歐洲聯盟基本條約歐洲中央銀行設在歐元區最大的金融中心法蘭克福市界線內,1196.6126444339752
拂涅靺鞨，即拂涅部，亦称“大拂涅”。,福念莫和及福念部一串大福念,福念莫和及福念部一串大福念,拂涅靺鞨 即拂涅部 亦称 大拂涅,福念莫和及福念部一串大福念,福念莫和及福念部一串大福念,1196.6126444339752
礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种。,"焦环冠水母是波水母缸,冠水母木,领撞水母科,环冠水母属之下的一个深海水母物种。","焦环冠水母是波水母缸,冠水母木,领撞水母科,环冠水母属之下的一个深海水母物种。",礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种,焦环冠水母是波水母缸 冠水母木 领撞水母科 环冠水母属之下的一个深海水母物种,焦环冠水母是波水母缸 冠水母木 领撞水母科 环冠水母属之下的一个深海水母物种,1196.6126444339752
如果无法控制,如果无法控制,如果无法控制,如果无法控制,如果无法控制,如果无法控制,1196.6126444339752
黑龙江省农垦总局友谊农场位于三江平原腹地，今黑龙江省双鸭山市友谊县。,黑龙江省农坑总局有一农场位于三江平原附地近黑龙江省双鸦山市有一线,黑龍江省農坑總局有一農場位於三江平原附地近黑龍江省雙鴉山市有一線,黑龙江省农垦总局友谊农场位于三江平原腹地 今黑龙江省双鸭山市友谊县,黑龙江省农坑总局有一农场位于三江平原附地近黑龙江省双鸦山市有一线,黑龍江省農坑總局有一農場位於三江平原附地近黑龍江省雙鴉山市有一線,1196.6126444339752
母王氏；继母田氏。,"母王氏,祭母田氏","母王氏,祭母田氏",母王氏 继母田氏,母王氏 祭母田氏,母王氏 祭母田氏,1196.6126444339752
维奥拉‧戴斯蒙德，）是一位加拿大新斯科舍省的非裔加拿大商人。,"我要拉,戴斯蒙德是一位加拿大新斯科社省的非裔加拿大商人。","我要拉,戴斯蒙德是一位加拿大新斯科社省的非裔加拿大商人。",维奥拉 戴斯蒙德 是一位加拿大新斯科舍省的非裔加拿大商人,我要拉 戴斯蒙德是一位加拿大新斯科社省的非裔加拿大商人,我要拉 戴斯蒙德是一位加拿大新斯科社省的非裔加拿大商人,1196.6126444339752
萧氏也因在轻井泽成立教会和避暑别庄，使当地重新兴盛而被尊为「轻井泽之父」。,"消失也因在清井泽城立教会和闭属别装,使当地重新欣盛而被尊为清井泽之父。","消失也因在清井泽城立教會和閉屬別裝,使當地重新欣盛而被尊為清井泽之父。",萧氏也因在轻井泽成立教会和避暑别庄 使当地重新兴盛而被尊为 轻井泽之父,消失也因在清井泽城立教会和闭属别装 使当地重新欣盛而被尊为清井泽之父,消失也因在清井泽城立教會和閉屬別裝 使當地重新欣盛而被尊為清井泽之父,1196.6126444339752
加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长，领导加泰罗尼亚各行政机构。,加太芦尼亚政府主席是加太芦尼亚政府的最高行政收账领导加太芦尼亚各行政机构,加太蘆尼亞政府主席是加太蘆尼亞政府的最高行政收賬領導加太蘆尼亞各行政機構,加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰罗尼亚各行政机构,加太芦尼亚政府主席是加太芦尼亚政府的最高行政收账领导加太芦尼亚各行政机构,加太蘆尼亞政府主席是加太蘆尼亞政府的最高行政收賬領導加太蘆尼亞各行政機構,1196.6126444339752
几百年来，大部分原来的绘画和可移动的装饰已经售出。,"几百年来,大部分原来的绘画和可移动的装饰已经受出","幾百年來,大部分原來的繪畫和可移動的裝飾已經受出",几百年来 大部分原来的绘画和可移动的装饰已经售出,几百年来 大部分原来的绘画和可移动的装饰已经受出,幾百年來 大部分原來的繪畫和可移動的裝飾已經受出,1196.6126444339752
金寿浩，吉林珲春人，朝鲜族，中国共产党党员。,金售号吉林辉春园朝鲜族中国共产党党员,金售號吉林輝春園朝鮮族中國共產黨黨員,金寿浩 吉林珲春人 朝鲜族 中国共产党党员,金售号吉林辉春园朝鲜族中国共产党党员,金售號吉林輝春園朝鮮族中國共產黨黨員,1196.6126444339752
直到今天，人们仍然可以在该镇附近看到城墙的痕迹。,"直到今天,人们仍然可以在该镇附近看到城墙的痕迹。","直到今天,人們仍然可以在該鎮附近看到城牆的痕跡。",直到今天 人们仍然可以在该镇附近看到城墙的痕迹,直到今天 人们仍然可以在该镇附近看到城墙的痕迹,直到今天 人們仍然可以在該鎮附近看到城牆的痕跡,1196.6126444339752
嘉靖三十八年，登进士第三甲第六十六名。,"加进38年,登进市第三甲第66名","加進38年,登進市第三甲第66名",嘉靖三十八年 登进士第三甲第六十六名,加进38年 登进市第三甲第66名,加進38年 登進市第三甲第66名,1196.6126444339752
她的文章表明，女性有可能公开从事政治活动，而等其他女性作家则效仿她。,"他的文章表明女性有可能公开从事政治活动,而等其他女性作家则笑访他。","他的文章表明女性有可能公開從事政治活動,而等其他女性作家則笑訪他。",她的文章表明 女性有可能公开从事政治活动 而等其他女性作家则效仿她,他的文章表明女性有可能公开从事政治活动 而等其他女性作家则笑访他,他的文章表明女性有可能公開從事政治活動 而等其他女性作家則笑訪他,1196.6126444339752
担任香港伟确投资集团董事长。,但任香港委却投资集团董事长。,但任香港委却投資集團董事長。,担任香港伟确投资集团董事长,但任香港委却投资集团董事长,但任香港委却投資集團董事長,1196.6126444339752
