sentence,hypothesis_simple,hypothesis_traditional,clean_sentence,clean_hypothesis_simple,clean_hypothesis_traditional,training_time
斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种。,斑赋毛管牙 为毛管牙科后毛管牙属下的一个种,斑赋毛管牙 为毛管牙科后毛管牙属下的一个种,斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种,斑赋毛管牙 为毛管牙科后毛管牙属下的一个种,斑赋毛管牙 为毛管牙科后毛管牙属下的一个种,4195.143456459045
于松迪普瓦图人口变化图示,余松的普瓦土人口变化图示,余松的普瓦土人口变化图示,于松迪普瓦图人口变化图示,余松的普瓦土人口变化图示,余松的普瓦土人口变化图示,4195.143456459045
鳗鲡楚克拉虫为两极科楚克拉虫属的动物。,曼丽楚克拉虫为两极颗楚克拉虫属的动物,曼麗楚克拉虫为两极颗楚克拉虫属的动物,鳗鲡楚克拉虫为两极科楚克拉虫属的动物,曼丽楚克拉虫为两极颗楚克拉虫属的动物,曼麗楚克拉虫为两极颗楚克拉虫属的动物,4195.143456459045
新穆德哈尔建筑是摩尔复兴建筑的一种。,西木德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔复兴建筑的一种,新穆德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔复兴建筑的一种,4195.143456459045
山西玄参为玄参科玄参属下的一个种。,山西玄申 为玄申科玄申属下的一个种,山西玄申 为玄申科玄申属下的一个种,山西玄参为玄参科玄参属下的一个种,山西玄申 为玄申科玄申属下的一个种,山西玄申 为玄申科玄申属下的一个种,4195.143456459045
金丝梅为藤黄科金丝桃属下的一个种。,金丝眉为藤黄和金丝桃属下的一个种,金丝眉为藤黄和金丝桃属下的一个种,金丝梅为藤黄科金丝桃属下的一个种,金丝眉为藤黄和金丝桃属下的一个种,金丝眉为藤黄和金丝桃属下的一个种,4195.143456459045
在模型论的范畴内这个证明就更困难了。,"在模型论的范畴内,这个证明就更困难了","在模型论的范畴内,这个证明就更困难了",在模型论的范畴内这个证明就更困难了,在模型论的范畴内 这个证明就更困难了,在模型论的范畴内 这个证明就更困难了,4195.143456459045
这些新材料和技术大体上就是物理性质在微尺度上的应用。,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性质在微尺度上的应用,4195.143456459045
节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事。,节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,4195.143456459045
黄子芊是班上最具名气的一人。,黄子谦是班上最具名气的一人,黄子谦是班上最具名气的一人,黄子芊是班上最具名气的一人,黄子谦是班上最具名气的一人,黄子谦是班上最具名气的一人,4195.143456459045
哈拉尔三世可以指,哈拉尔30可以值,哈拉尔30可以值,哈拉尔三世可以指,哈拉尔30可以值,哈拉尔30可以值,4195.143456459045
二水车站亦为集集线的起点。,二水车站 意为GG线的起点,二水車站 意為GG線的起點,二水车站亦为集集线的起点,二水车站 意为gg线的起点,二水車站 意為gg線的起點,4195.143456459045
科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园。,科伯克谷国家公园 也是美国的国家公园中游客数最少的国家公园,科伯克谷国家公园 也是美国的国家公园中游客数最少的国家公园,科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园,科伯克谷国家公园 也是美国的国家公园中游客数最少的国家公园,科伯克谷国家公园 也是美国的国家公园中游客数最少的国家公园,4195.143456459045
治所在怀道县。,置所在怀道线,置所在怀道线,治所在怀道县,置所在怀道线,置所在怀道线,4195.143456459045
达拉斯龙具有许多自衍征。,达拉斯隆具有许多自言征,達拉斯隆具有許多自言徵,达拉斯龙具有许多自衍征,达拉斯隆具有许多自言征,達拉斯隆具有許多自言徵,4195.143456459045
绳金塔始建于唐朝天佑年间。,神经塔始建于唐朝天佑年间,神经塔始建于唐朝天佑年间,绳金塔始建于唐朝天佑年间,神经塔始建于唐朝天佑年间,神经塔始建于唐朝天佑年间,4195.143456459045
此外，多位积极的活动家也参与了典礼。,"此外,多位积极的活动家也参与了典礼","此外,多位積極的活動家也參與了典禮",此外 多位积极的活动家也参与了典礼,此外 多位积极的活动家也参与了典礼,此外 多位積極的活動家也參與了典禮,4195.143456459045
案中三名被告分别是莫世健、李玉培及杨曼曼，当中李玉培和杨曼曼为从犯。,案中三名被告分别是莫世建、李玉培及杨曼曼当中李玉培和杨曼曼为从犯,案中三名被告分别是莫世建、李玉培及杨曼曼当中李玉培和杨曼曼为从犯,案中三名被告分别是莫世健 李玉培及杨曼曼 当中李玉培和杨曼曼为从犯,案中三名被告分别是莫世建 李玉培及杨曼曼当中李玉培和杨曼曼为从犯,案中三名被告分别是莫世建 李玉培及杨曼曼当中李玉培和杨曼曼为从犯,4195.143456459045
而零声母符号表示。,而林生五符号表示,而林生五符号表示,而零声母符号表示,而林生五符号表示,而林生五符号表示,4195.143456459045
过去的研究报告以及来源借助于新科技数位人类学的帮助。,过去的研究报告以及来源借助于新科技数位人类学的帮助,過去的研究報告以及來源借助於新科技數位人類學的幫助,过去的研究报告以及来源借助于新科技数位人类学的帮助,过去的研究报告以及来源借助于新科技数位人类学的帮助,過去的研究報告以及來源借助於新科技數位人類學的幫助,4195.143456459045
哈德利也设计了位于皮尔斯县的。,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯县的,4195.143456459045
在义大利，摩托车也在低排放区的适用范围之内。,"在意大利,摩托车也在低排放区的试用范围之内","在意大利,摩托车也在低排放区的试用范围之内",在义大利 摩托车也在低排放区的适用范围之内,在意大利 摩托车也在低排放区的试用范围之内,在意大利 摩托车也在低排放区的试用范围之内,4195.143456459045
杰罗姆·鲍威尔，出身法律界，曾任律师、投资银行家。,"杰罗姆·鲍威尔出身法律界,曾任律师投资银行家。","杰罗姆·鲍威尔出身法律界,曾任律师投资银行家。",杰罗姆 鲍威尔 出身法律界 曾任律师 投资银行家,杰罗姆 鲍威尔出身法律界 曾任律师投资银行家,杰罗姆 鲍威尔出身法律界 曾任律师投资银行家,4195.143456459045
季子可以指：,寂子可以止,寂子可以止,季子可以指,寂子可以止,寂子可以止,4195.143456459045
这给他游遍中国的机会并跟随一个老派的儒学人士学习中文。,"这给他游遍中国的机会,并跟随一个老派的儒学人士学习中文。","这给他游遍中国的机会,并跟随一个老派的儒学人士学习中文。",这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,这给他游遍中国的机会 并跟随一个老派的儒学人士学习中文,这给他游遍中国的机会 并跟随一个老派的儒学人士学习中文,4195.143456459045
他杀害的女性多为按摩女。,他杀害的女性多为按摩女,他殺害的女性多為按摩女,他杀害的女性多为按摩女,他杀害的女性多为按摩女,他殺害的女性多為按摩女,4195.143456459045
乐团经常尝试从电脑上其他音乐档案重新创作拍子，最后呈现出原有节奏的修改版本。,"乐团经常尝试从电脑上其他音乐档案重新创作拍子,最后呈现出原有节奏的修改版本。","乐团经常尝试从电脑上其他音乐档案重新创作拍子,最后呈现出原有节奏的修改版本。",乐团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,乐团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,乐团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,4195.143456459045
赛巴斯提阿诺·维涅尔，是一名意大利政治家和军事家。,塞巴斯提阿诺威尼尔是一名意大利政治家和军事家,塞巴斯提阿诺威尼尔是一名意大利政治家和军事家,赛巴斯提阿诺 维涅尔 是一名意大利政治家和军事家,塞巴斯提阿诺威尼尔是一名意大利政治家和军事家,塞巴斯提阿诺威尼尔是一名意大利政治家和军事家,4195.143456459045
所有泛美洲羽毛球联合会辖下的会员都具有参赛资格。,所有泛美洲与毛球联合会辖下的会员都具有参赛资格。,所有泛美洲与毛球联合会辖下的会员都具有参赛资格。,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,所有泛美洲与毛球联合会辖下的会员都具有参赛资格,所有泛美洲与毛球联合会辖下的会员都具有参赛资格,4195.143456459045
嘉靖四十一年，登进士第二甲第四十六名。,"嘉靖41年,登靖市第二甲第46名","嘉靖41年,登靖市第二甲第46名",嘉靖四十一年 登进士第二甲第四十六名,嘉靖41年 登靖市第二甲第46名,嘉靖41年 登靖市第二甲第46名,4195.143456459045
遂被押于文登监狱，后转至山东省反省院。,"遂被押于文登监狱,后转至山东省反省院。","遂被押于文登监狱,后转至山东省反省院。",遂被押于文登监狱 后转至山东省反省院,遂被押于文登监狱 后转至山东省反省院,遂被押于文登监狱 后转至山东省反省院,4195.143456459045
赵德光可以是指：,照得光可以逝之,照得光可以逝之,赵德光可以是指,照得光可以逝之,照得光可以逝之,4195.143456459045
在位三十年去世，谥号严。,"再为30年去世,嗜好言。","再為30年去世,嗜好言。",在位三十年去世 谥号严,再为30年去世 嗜好言,再為30年去世 嗜好言,4195.143456459045
周继，字善卿，山东济南府历城县人，民籍，明朝政治人物、进士出身。,周季自汕青山东济南府立产县人明吉明朝政治人物进世出身,周季自汕青山東濟南府立產縣人明吉明朝政治人物進世出身,周继 字善卿 山东济南府历城县人 民籍 明朝政治人物 进士出身,周季自汕青山东济南府立产县人明吉明朝政治人物进世出身,周季自汕青山東濟南府立產縣人明吉明朝政治人物進世出身,4195.143456459045
成都博物馆通过其官网和官方微博账号发布博物馆动态。,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博账号发布博物馆动态,4195.143456459045
该御瓷厂主要服务于皇家，其生产出的作品常作为礼物赠送给外国政要。,"该玉瓷厂主要服务于皇家,其生产出的作品常作为礼物赠送给外国政要。","该玉瓷厂主要服务于皇家,其生产出的作品常作为礼物赠送给外国政要。",该御瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国政要,该玉瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国政要,该玉瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国政要,4195.143456459045
类似的目击还发生过多次，其中不乏受尊重人士。,"类似的目击还发生过多次,其中不乏受尊重人士。","类似的目击还发生过多次,其中不乏受尊重人士。",类似的目击还发生过多次 其中不乏受尊重人士,类似的目击还发生过多次 其中不乏受尊重人士,类似的目击还发生过多次 其中不乏受尊重人士,4195.143456459045
李承选，字俊卿，河南开封府延津县人，民籍，明朝政治人物、进士出身。,李承玄自郡亲河南开坟府严经县人名即明朝政治人物近世出身,李承玄自郡亲河南开坟府严经县人名即明朝政治人物近世出身,李承选 字俊卿 河南开封府延津县人 民籍 明朝政治人物 进士出身,李承玄自郡亲河南开坟府严经县人名即明朝政治人物近世出身,李承玄自郡亲河南开坟府严经县人名即明朝政治人物近世出身,4195.143456459045
黄辉祥华裔商人、运动员。,黄辉祥 华裔商人运动员,黄辉祥 华裔商人运动员,黄辉祥华裔商人 运动员,黄辉祥 华裔商人运动员,黄辉祥 华裔商人运动员,4195.143456459045
北戴河近代建筑群主要包括：已毁的着名近代建筑有：,北戴河近代建筑群主要包括已毁的著名近代建筑有,北戴河近代建筑群主要包括已毀的著名近代建筑有,北戴河近代建筑群主要包括 已毁的着名近代建筑有,北戴河近代建筑群主要包括已毁的著名近代建筑有,北戴河近代建筑群主要包括已毀的著名近代建筑有,4195.143456459045
周宇女，湖北省武汉市人，中华人民共和国外交部官员，中共十九大代表。,周瑜女湖北省武汉市人中华人民共和国外交部官员中共十九大代表,周瑜女湖北省武汉市人中华人民共和国外交部官员中共十九大代表,周宇女 湖北省武汉市人 中华人民共和国外交部官员 中共十九大代表,周瑜女湖北省武汉市人中华人民共和国外交部官员中共十九大代表,周瑜女湖北省武汉市人中华人民共和国外交部官员中共十九大代表,4195.143456459045
属安定郡。,蜀安令俊,蜀安令俊,属安定郡,蜀安令俊,蜀安令俊,4195.143456459045
现在这座建筑是弗雷德里克·萧邦学会的所在地，并且也是萧邦博物馆的展馆建筑。,"现在这座建筑是福雷德里克肖邦学会的所在地,并且也是肖邦博物馆的展馆建筑。","现在这座建筑是福雷德里克肖邦学会的所在地,并且也是肖邦博物馆的展馆建筑。",现在这座建筑是弗雷德里克 萧邦学会的所在地 并且也是萧邦博物馆的展馆建筑,现在这座建筑是福雷德里克肖邦学会的所在地 并且也是肖邦博物馆的展馆建筑,现在这座建筑是福雷德里克肖邦学会的所在地 并且也是肖邦博物馆的展馆建筑,4195.143456459045
在第五次“围剿”中，根据地被敌占领。,"在第五次围剿中,根据地位地占领。","在第五次圍剿中,根據地位地佔領。",在第五次 围剿 中 根据地被敌占领,在第五次围剿中 根据地位地占领,在第五次圍剿中 根據地位地佔領,4195.143456459045
开平路街道是中国山东省青岛市市北区下辖的一个街道。,开平路街道是中国山东省青岛市市北区下辖的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,4195.143456459045
北魏设僧统，又名沙门统、都统等，是全国僧团最高领袖。,北魏社僧同又名沙门同都同等是全国僧团最高领袖,北魏社僧同又名沙门同都同等是全国僧团最高领袖,北魏设僧统 又名沙门统 都统等 是全国僧团最高领袖,北魏社僧同又名沙门同都同等是全国僧团最高领袖,北魏社僧同又名沙门同都同等是全国僧团最高领袖,4195.143456459045
许乃番，浙江仁和人，清朝政治人物。,徐乃帆 浙江人和人 清朝政治人物,徐乃帆 浙江人和人 清朝政治人物,许乃番 浙江仁和人 清朝政治人物,徐乃帆 浙江人和人 清朝政治人物,徐乃帆 浙江人和人 清朝政治人物,4195.143456459045
上海出租车，是指在中国上海市行政区域内行驶和运营的出租车。,上海出租车是指在中国上海市行政区域内行驶和运营的出租车。,上海出租车是指在中国上海市行政区域内行驶和运营的出租车。,上海出租车 是指在中国上海市行政区域内行驶和运营的出租车,上海出租车是指在中国上海市行政区域内行驶和运营的出租车,上海出租车是指在中国上海市行政区域内行驶和运营的出租车,4195.143456459045
孙正东，安徽灵璧人，汉族，中国共产党党员。,"孙政东,安徽临壁人,汉族,中国共产党党员。","孫政東,安徽臨壁人,漢族,中國共產黨黨員。",孙正东 安徽灵璧人 汉族 中国共产党党员,孙政东 安徽临壁人 汉族 中国共产党党员,孫政東 安徽臨壁人 漢族 中國共產黨黨員,4195.143456459045
南瓜妮歌迷俱乐部组成。,南瓜泥歌迷俱乐部组成,南瓜泥歌迷俱乐部组成,南瓜妮歌迷俱乐部组成,南瓜泥歌迷俱乐部组成,南瓜泥歌迷俱乐部组成,4195.143456459045
既用排满之说疑误满人，更借灭汉之说激耸汉人，离间谗构狡谲已极。,"既用排满之说一物满人,更借灭汉之说击耸汉人,离间禅购,缴绝已及。","既用排满之说一物满人,更借灭汉之说击耸汉人,离间禅购,缴绝已及。",既用排满之说疑误满人 更借灭汉之说激耸汉人 离间谗构狡谲已极,既用排满之说一物满人 更借灭汉之说击耸汉人 离间禅购 缴绝已及,既用排满之说一物满人 更借灭汉之说击耸汉人 离间禅购 缴绝已及,4195.143456459045
吉林省图书馆成立于清宣统元年，馆舍设在当时的吉林省府所在地吉林市。,"吉林省图书馆成立于清宣统元年,馆设设在当时的吉林省府所在地吉林市。","吉林省图书馆成立于清宣统元年,馆设设在当时的吉林省府所在地吉林市。",吉林省图书馆成立于清宣统元年 馆舍设在当时的吉林省府所在地吉林市,吉林省图书馆成立于清宣统元年 馆设设在当时的吉林省府所在地吉林市,吉林省图书馆成立于清宣统元年 馆设设在当时的吉林省府所在地吉林市,4195.143456459045
流浪动物花园，全称中华民国流浪动物花园协会，是台湾的一个动物保护组织。,流浪动物花园全称中华民国流浪动物花园协会是台湾的一个动物保护组织,流浪動物花園全稱中華民國流浪動物花園協會是台灣的一個動物保護組織,流浪动物花园 全称中华民国流浪动物花园协会 是台湾的一个动物保护组织,流浪动物花园全称中华民国流浪动物花园协会是台湾的一个动物保护组织,流浪動物花園全稱中華民國流浪動物花園協會是台灣的一個動物保護組織,4195.143456459045
中华民国成立后，在英属加拿大设置总领事馆。,"中华民国成立后,在英属加拿大设置总领事馆。","中华民国成立后,在英属加拿大设置总领事馆。",中华民国成立后 在英属加拿大设置总领事馆,中华民国成立后 在英属加拿大设置总领事馆,中华民国成立后 在英属加拿大设置总领事馆,4195.143456459045
然而，在一般的条件下，最小充分统计量总是存在的。,然而在一般的条件下最小充分统计量总是存在的,然而在一般的条件下最小充分统计量总是存在的,然而 在一般的条件下 最小充分统计量总是存在的,然而在一般的条件下最小充分统计量总是存在的,然而在一般的条件下最小充分统计量总是存在的,4195.143456459045
日军将三式炮战车定位为自走炮兼驱逐战车。,日军将三式炮战车定位为自走炮兼驱逐战车,日軍將三式炮戰車定位為自走炮兼驅逐戰車,日军将三式炮战车定位为自走炮兼驱逐战车,日军将三式炮战车定位为自走炮兼驱逐战车,日軍將三式炮戰車定位為自走炮兼驅逐戰車,4195.143456459045
高庄可以指：,膏妆可以止,膏妝可以止,高庄可以指,膏妆可以止,膏妝可以止,4195.143456459045
廖淑惠，出生于云林县农户，家中排行第三。,"廖淑慧,出生于云林县农户,家中排行第三。","廖淑慧,出生于云林县农户,家中排行第三。",廖淑惠 出生于云林县农户 家中排行第三,廖淑慧 出生于云林县农户 家中排行第三,廖淑慧 出生于云林县农户 家中排行第三,4195.143456459045
即西方三圣接引图。,及西方三圣接引图。,及西方三圣接引图。,即西方三圣接引图,及西方三圣接引图,及西方三圣接引图,4195.143456459045
金城是位于美国阿肯色州拉法叶县的一个非建制地区。,京城是位于美国阿肯色州拉法叶县的一个非建制地区。,京城是位于美国阿肯色州拉法叶县的一个非建制地区。,金城是位于美国阿肯色州拉法叶县的一个非建制地区,京城是位于美国阿肯色州拉法叶县的一个非建制地区,京城是位于美国阿肯色州拉法叶县的一个非建制地区,4195.143456459045
牵招说，袁绍承制，曹公奉天子命，辽东是下属之郡，怎么能擅称授拜职位。,"千召说袁绍承治,曹公奉天子命,辽东是下属之郡,怎么能善称受败职位?","千召说袁绍承治,曹公奉天子命,辽东是下属之郡,怎么能善称受败职位?",牵招说 袁绍承制 曹公奉天子命 辽东是下属之郡 怎么能擅称授拜职位,千召说袁绍承治 曹公奉天子命 辽东是下属之郡 怎么能善称受败职位,千召说袁绍承治 曹公奉天子命 辽东是下属之郡 怎么能善称受败职位,4195.143456459045
唐纳·席格，是一名美国男导演和监制。,唐纳西格是一位美国男导演和监制,唐纳西格是一位美国男导演和监制,唐纳 席格 是一名美国男导演和监制,唐纳西格是一位美国男导演和监制,唐纳西格是一位美国男导演和监制,4195.143456459045
根据欧洲联盟基本条约，欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内。,"根据欧洲联盟基本条约,欧洲中央银行设在欧元区最大的金融中心法兰克福士界限内。","根据欧洲联盟基本条约,欧洲中央银行设在欧元区最大的金融中心法兰克福士界限内。",根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内,根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福士界限内,根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福士界限内,4195.143456459045
拂涅靺鞨，即拂涅部，亦称“大拂涅”。,"福涅墨河即福涅部,亦称大福涅。","福涅墨河即福涅部,亦称大福涅。",拂涅靺鞨 即拂涅部 亦称 大拂涅,福涅墨河即福涅部 亦称大福涅,福涅墨河即福涅部 亦称大福涅,4195.143456459045
礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种。,交还灌水母是拨水母缸、灌水母木、领状水母科、还灌水母属之下的一个深海水母物种,交還灌水母是撥水母缸、灌水母木、領狀水母科、還灌水母屬之下的一個深海水母物種,礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种,交还灌水母是拨水母缸 灌水母木 领状水母科 还灌水母属之下的一个深海水母物种,交還灌水母是撥水母缸 灌水母木 領狀水母科 還灌水母屬之下的一個深海水母物種,4195.143456459045
如果无法控制,如果无法控制,如果无法控制,如果无法控制,如果无法控制,如果无法控制,4195.143456459045
黑龙江省农垦总局友谊农场位于三江平原腹地，今黑龙江省双鸭山市友谊县。,"黑龙江省农坑总局友谊农场位于三江平原腹地,经黑龙江省双鸭山市友谊线。","黑龙江省农坑总局友谊农场位于三江平原腹地,经黑龙江省双鸭山市友谊线。",黑龙江省农垦总局友谊农场位于三江平原腹地 今黑龙江省双鸭山市友谊县,黑龙江省农坑总局友谊农场位于三江平原腹地 经黑龙江省双鸭山市友谊线,黑龙江省农坑总局友谊农场位于三江平原腹地 经黑龙江省双鸭山市友谊线,4195.143456459045
母王氏；继母田氏。,"母王氏,即母田氏。","母王氏,即母田氏。",母王氏 继母田氏,母王氏 即母田氏,母王氏 即母田氏,4195.143456459045
维奥拉‧戴斯蒙德，）是一位加拿大新斯科舍省的非裔加拿大商人。,维奥拉·戴斯蒙德是一位加拿大新斯科社省的非裔加拿大商人。,维奥拉·戴斯蒙德是一位加拿大新斯科社省的非裔加拿大商人。,维奥拉 戴斯蒙德 是一位加拿大新斯科舍省的非裔加拿大商人,维奥拉 戴斯蒙德是一位加拿大新斯科社省的非裔加拿大商人,维奥拉 戴斯蒙德是一位加拿大新斯科社省的非裔加拿大商人,4195.143456459045
萧氏也因在轻井泽成立教会和避暑别庄，使当地重新兴盛而被尊为「轻井泽之父」。,"萧氏也因在清景泽成立教会和庇属别庄,使当地重新兴盛,而被尊为清景泽之父。","萧氏也因在清景泽成立教会和庇属别庄,使当地重新兴盛,而被尊为清景泽之父。",萧氏也因在轻井泽成立教会和避暑别庄 使当地重新兴盛而被尊为 轻井泽之父,萧氏也因在清景泽成立教会和庇属别庄 使当地重新兴盛 而被尊为清景泽之父,萧氏也因在清景泽成立教会和庇属别庄 使当地重新兴盛 而被尊为清景泽之父,4195.143456459045
加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长，领导加泰罗尼亚各行政机构。,"加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长,领导加泰罗尼亚各行政机构。","加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长,领导加泰罗尼亚各行政机构。",加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰罗尼亚各行政机构,加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰罗尼亚各行政机构,加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰罗尼亚各行政机构,4195.143456459045
几百年来，大部分原来的绘画和可移动的装饰已经售出。,"几百年来,大部分原来的绘画和可移动的装饰已经售出。","几百年来,大部分原来的绘画和可移动的装饰已经售出。",几百年来 大部分原来的绘画和可移动的装饰已经售出,几百年来 大部分原来的绘画和可移动的装饰已经售出,几百年来 大部分原来的绘画和可移动的装饰已经售出,4195.143456459045
金寿浩，吉林珲春人，朝鲜族，中国共产党党员。,金寿浩、吉林辉春人、朝鲜族、中国共产党党员,金寿浩、吉林辉春人、朝鲜族、中国共产党党员,金寿浩 吉林珲春人 朝鲜族 中国共产党党员,金寿浩 吉林辉春人 朝鲜族 中国共产党党员,金寿浩 吉林辉春人 朝鲜族 中国共产党党员,4195.143456459045
直到今天，人们仍然可以在该镇附近看到城墙的痕迹。,"直到今天,人们仍然可以在该镇附近看到城墙的痕迹。","直到今天,人們仍然可以在該鎮附近看到城牆的痕跡。",直到今天 人们仍然可以在该镇附近看到城墙的痕迹,直到今天 人们仍然可以在该镇附近看到城墙的痕迹,直到今天 人們仍然可以在該鎮附近看到城牆的痕跡,4195.143456459045
嘉靖三十八年，登进士第三甲第六十六名。,"嘉靖38年,登晋市第三甲第66名","嘉靖38年,登晋市第三甲第66名",嘉靖三十八年 登进士第三甲第六十六名,嘉靖38年 登晋市第三甲第66名,嘉靖38年 登晋市第三甲第66名,4195.143456459045
