sentence,hypothesis_simple,hypothesis_traditional,clean_sentence,clean_hypothesis_simple,clean_hypothesis_traditional,training_time
在义大利，摩托车也在低排放区的适用范围之内。,"在意大利,摩托车也在低排放区的适用范围之内","在意大利,摩托车也在低排放区的适用范围之内",在义大利 摩托车也在低排放区的适用范围之内,在意大利 摩托车也在低排放区的适用范围之内,在意大利 摩托车也在低排放区的适用范围之内,3950.6493270397186
杰罗姆·鲍威尔，出身法律界，曾任律师、投资银行家。,"杰罗姆·鲍威尔出身法律界,曾任律师,投资银行家。","杰罗姆·鲍威尔出身法律界,曾任律师,投资银行家。",杰罗姆 鲍威尔 出身法律界 曾任律师 投资银行家,杰罗姆 鲍威尔出身法律界 曾任律师 投资银行家,杰罗姆 鲍威尔出身法律界 曾任律师 投资银行家,3950.6493270397186
季子可以指：,妓子可以指,妓子可以指,季子可以指,妓子可以指,妓子可以指,3950.6493270397186
这给他游遍中国的机会并跟随一个老派的儒学人士学习中文。,这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,3950.6493270397186
他杀害的女性多为按摩女。,他杀害的女性多为按摩女,他杀害的女性多为按摩女,他杀害的女性多为按摩女,他杀害的女性多为按摩女,他杀害的女性多为按摩女,3950.6493270397186
乐团经常尝试从电脑上其他音乐档案重新创作拍子，最后呈现出原有节奏的修改版本。,"玉团经常尝试从电脑上其他音乐档案重新创作拍子,最后呈现出原有节奏的修改版本。","玉团经常尝试从电脑上其他音乐档案重新创作拍子,最后呈现出原有节奏的修改版本。",乐团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,玉团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,玉团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,3950.6493270397186
赛巴斯提阿诺·维涅尔，是一名意大利政治家和军事家。,塞巴斯提阿诺·威涅尔是一名意大利政治家和军事家,塞巴斯提阿诺·威涅尔是一名意大利政治家和军事家,赛巴斯提阿诺 维涅尔 是一名意大利政治家和军事家,塞巴斯提阿诺 威涅尔是一名意大利政治家和军事家,塞巴斯提阿诺 威涅尔是一名意大利政治家和军事家,3950.6493270397186
所有泛美洲羽毛球联合会辖下的会员都具有参赛资格。,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,3950.6493270397186
嘉靖四十一年，登进士第二甲第四十六名。,"嘉靖四十一年,登靖是第二甲第四十六名。","嘉靖四十一年,登靖是第二甲第四十六名。",嘉靖四十一年 登进士第二甲第四十六名,嘉靖四十一年 登靖是第二甲第四十六名,嘉靖四十一年 登靖是第二甲第四十六名,3950.6493270397186
遂被押于文登监狱，后转至山东省反省院。,"遂被押于文灯监狱,后转至山东省反省院","遂被押於文燈監獄,後轉至山東省反省院",遂被押于文登监狱 后转至山东省反省院,遂被押于文灯监狱 后转至山东省反省院,遂被押於文燈監獄 後轉至山東省反省院,3950.6493270397186
赵德光可以是指：,照德光可以释止,照德光可以释止,赵德光可以是指,照德光可以释止,照德光可以释止,3950.6493270397186
在位三十年去世，谥号严。,"在位三十年去世,世浩言","在位三十年去世,世浩言",在位三十年去世 谥号严,在位三十年去世 世浩言,在位三十年去世 世浩言,3950.6493270397186
周继，字善卿，山东济南府历城县人，民籍，明朝政治人物、进士出身。,周继自汕青山东济南府历产线人明吉明朝政治人物近世出身,周继自汕青山东济南府历产线人明吉明朝政治人物近世出身,周继 字善卿 山东济南府历城县人 民籍 明朝政治人物 进士出身,周继自汕青山东济南府历产线人明吉明朝政治人物近世出身,周继自汕青山东济南府历产线人明吉明朝政治人物近世出身,3950.6493270397186
成都博物馆通过其官网和官方微博账号发布博物馆动态。,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博账号发布博物馆动态,成都博物馆通过其官网和官方微博账号发布博物馆动态,3950.6493270397186
该御瓷厂主要服务于皇家，其生产出的作品常作为礼物赠送给外国政要。,"该浴瓷厂主要服务于皇家,其生产出的作品常作为礼物赠送给外国镇要。","该浴瓷厂主要服务于皇家,其生产出的作品常作为礼物赠送给外国镇要。",该御瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国政要,该浴瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国镇要,该浴瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国镇要,3950.6493270397186
类似的目击还发生过多次，其中不乏受尊重人士。,"类似的目击还发生过多次,其中不乏受尊重人士。","类似的目击还发生过多次,其中不乏受尊重人士。",类似的目击还发生过多次 其中不乏受尊重人士,类似的目击还发生过多次 其中不乏受尊重人士,类似的目击还发生过多次 其中不乏受尊重人士,3950.6493270397186
李承选，字俊卿，河南开封府延津县人，民籍，明朝政治人物、进士出身。,"李成选自郡亲河南开封府延京县人,名籍明朝政治人物,近世出身。","李成选自郡亲河南开封府延京县人,名籍明朝政治人物,近世出身。",李承选 字俊卿 河南开封府延津县人 民籍 明朝政治人物 进士出身,李成选自郡亲河南开封府延京县人 名籍明朝政治人物 近世出身,李成选自郡亲河南开封府延京县人 名籍明朝政治人物 近世出身,3950.6493270397186
黄辉祥华裔商人、运动员。,黄辉祥 华裔商人 运动员,黃輝祥 華裔商人 運動員,黄辉祥华裔商人 运动员,黄辉祥 华裔商人 运动员,黃輝祥 華裔商人 運動員,3950.6493270397186
北戴河近代建筑群主要包括：已毁的着名近代建筑有：,北戴河近代建筑群主要包括夷回的著名近代建筑有,北戴河近代建筑群主要包括夷回的著名近代建筑有,北戴河近代建筑群主要包括 已毁的着名近代建筑有,北戴河近代建筑群主要包括夷回的著名近代建筑有,北戴河近代建筑群主要包括夷回的著名近代建筑有,3950.6493270397186
周宇女，湖北省武汉市人，中华人民共和国外交部官员，中共十九大代表。,周瑜女 湖北省武汉市人中华人民共和国外交部官员中共十九大代表,周瑜女 湖北省武漢市人中華人民共和國外交部官員中共十九大代表,周宇女 湖北省武汉市人 中华人民共和国外交部官员 中共十九大代表,周瑜女 湖北省武汉市人中华人民共和国外交部官员中共十九大代表,周瑜女 湖北省武漢市人中華人民共和國外交部官員中共十九大代表,3950.6493270397186
属安定郡。,鼠安定俊,鼠安定俊,属安定郡,鼠安定俊,鼠安定俊,3950.6493270397186
现在这座建筑是弗雷德里克·萧邦学会的所在地，并且也是萧邦博物馆的展馆建筑。,现在这座建筑是弗雷德里克销帮学会的所在地并且也是销帮博物馆的展馆建筑,现在这座建筑是弗雷德里克销帮学会的所在地并且也是销帮博物馆的展馆建筑,现在这座建筑是弗雷德里克 萧邦学会的所在地 并且也是萧邦博物馆的展馆建筑,现在这座建筑是弗雷德里克销帮学会的所在地并且也是销帮博物馆的展馆建筑,现在这座建筑是弗雷德里克销帮学会的所在地并且也是销帮博物馆的展馆建筑,3950.6493270397186
在第五次“围剿”中，根据地被敌占领。,"在第五次围剿中,根据地被抵占领","在第五次围剿中,根据地被抵占领",在第五次 围剿 中 根据地被敌占领,在第五次围剿中 根据地被抵占领,在第五次围剿中 根据地被抵占领,3950.6493270397186
开平路街道是中国山东省青岛市市北区下辖的一个街道。,开平路街道是中国山东省青岛市市北区下辖的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,开平路街道是中国山东省青岛市市北区下辖的一个街道,3950.6493270397186
北魏设僧统，又名沙门统、都统等，是全国僧团最高领袖。,"北魏摄僧统,又名沙门统,都统等,是全国僧团最高领袖。","北魏摄僧统,又名沙门统,都统等,是全国僧团最高领袖。",北魏设僧统 又名沙门统 都统等 是全国僧团最高领袖,北魏摄僧统 又名沙门统 都统等 是全国僧团最高领袖,北魏摄僧统 又名沙门统 都统等 是全国僧团最高领袖,3950.6493270397186
许乃番，浙江仁和人，清朝政治人物。,许乃藩 浙江人和人 清朝政治人物,许乃藩 浙江人和人 清朝政治人物,许乃番 浙江仁和人 清朝政治人物,许乃藩 浙江人和人 清朝政治人物,许乃藩 浙江人和人 清朝政治人物,3950.6493270397186
上海出租车，是指在中国上海市行政区域内行驶和运营的出租车。,上海出租车是指在中国上海市行政区域内行驶和运营的出租车。,上海出租车是指在中国上海市行政区域内行驶和运营的出租车。,上海出租车 是指在中国上海市行政区域内行驶和运营的出租车,上海出租车是指在中国上海市行政区域内行驶和运营的出租车,上海出租车是指在中国上海市行政区域内行驶和运营的出租车,3950.6493270397186
孙正东，安徽灵璧人，汉族，中国共产党党员。,"孙正东,安徽林碧人,汉族,中国共产党党员","孙正东,安徽林碧人,汉族,中国共产党党员",孙正东 安徽灵璧人 汉族 中国共产党党员,孙正东 安徽林碧人 汉族 中国共产党党员,孙正东 安徽林碧人 汉族 中国共产党党员,3950.6493270397186
南瓜妮歌迷俱乐部组成。,南瓜尼歌迷俱乐部组成,南瓜尼歌迷俱乐部组成,南瓜妮歌迷俱乐部组成,南瓜尼歌迷俱乐部组成,南瓜尼歌迷俱乐部组成,3950.6493270397186
既用排满之说疑误满人，更借灭汉之说激耸汉人，离间谗构狡谲已极。,既用排满之说一物满人更借灭汉之说击耸汉人离间缠构 搅掘已及,既用排满之说一物满人更借灭汉之说击耸汉人离间缠构 搅掘已及,既用排满之说疑误满人 更借灭汉之说激耸汉人 离间谗构狡谲已极,既用排满之说一物满人更借灭汉之说击耸汉人离间缠构 搅掘已及,既用排满之说一物满人更借灭汉之说击耸汉人离间缠构 搅掘已及,3950.6493270397186
吉林省图书馆成立于清宣统元年，馆舍设在当时的吉林省府所在地吉林市。,"吉林省图书馆成立于清宣统元年,馆设设在当时的吉林省府所在地吉林市。","吉林省图书馆成立于清宣统元年,馆设设在当时的吉林省府所在地吉林市。",吉林省图书馆成立于清宣统元年 馆舍设在当时的吉林省府所在地吉林市,吉林省图书馆成立于清宣统元年 馆设设在当时的吉林省府所在地吉林市,吉林省图书馆成立于清宣统元年 馆设设在当时的吉林省府所在地吉林市,3950.6493270397186
流浪动物花园，全称中华民国流浪动物花园协会，是台湾的一个动物保护组织。,流浪动物花园全称中华民国流浪动物花园协会是台湾的一个动物保护组织,流浪动物花园全称中华民国流浪动物花园协会是台湾的一个动物保护组织,流浪动物花园 全称中华民国流浪动物花园协会 是台湾的一个动物保护组织,流浪动物花园全称中华民国流浪动物花园协会是台湾的一个动物保护组织,流浪动物花园全称中华民国流浪动物花园协会是台湾的一个动物保护组织,3950.6493270397186
中华民国成立后，在英属加拿大设置总领事馆。,"中华民国成立后,在英属加拿大设置总领事馆。","中华民国成立后,在英属加拿大设置总领事馆。",中华民国成立后 在英属加拿大设置总领事馆,中华民国成立后 在英属加拿大设置总领事馆,中华民国成立后 在英属加拿大设置总领事馆,3950.6493270397186
然而，在一般的条件下，最小充分统计量总是存在的。,"然而在一般的条件下,最小充分统计量总是存在的。","然而在一般的条件下,最小充分统计量总是存在的。",然而 在一般的条件下 最小充分统计量总是存在的,然而在一般的条件下 最小充分统计量总是存在的,然而在一般的条件下 最小充分统计量总是存在的,3950.6493270397186
日军将三式炮战车定位为自走炮兼驱逐战车。,日军将三式炮战车定位为自走炮兼驱逐战车,日军将三式炮战车定位为自走炮兼驱逐战车,日军将三式炮战车定位为自走炮兼驱逐战车,日军将三式炮战车定位为自走炮兼驱逐战车,日军将三式炮战车定位为自走炮兼驱逐战车,3950.6493270397186
高庄可以指：,高桩可以止,高樁可以止,高庄可以指,高桩可以止,高樁可以止,3950.6493270397186
廖淑惠，出生于云林县农户，家中排行第三。,"廖淑慧出生于云林县农户,家中排行第三。","廖淑慧出生于云林县农户,家中排行第三。",廖淑惠 出生于云林县农户 家中排行第三,廖淑慧出生于云林县农户 家中排行第三,廖淑慧出生于云林县农户 家中排行第三,3950.6493270397186
即西方三圣接引图。,及西方三圣接引图,及西方三圣接引图,即西方三圣接引图,及西方三圣接引图,及西方三圣接引图,3950.6493270397186
金城是位于美国阿肯色州拉法叶县的一个非建制地区。,京城是位于美国阿肯色州拉法叶县的一个非建制地区。,京城是位于美国阿肯色州拉法叶县的一个非建制地区。,金城是位于美国阿肯色州拉法叶县的一个非建制地区,京城是位于美国阿肯色州拉法叶县的一个非建制地区,京城是位于美国阿肯色州拉法叶县的一个非建制地区,3950.6493270397186
牵招说，袁绍承制，曹公奉天子命，辽东是下属之郡，怎么能擅称授拜职位。,"千昭说,袁绍成智,曹公奉天子命,辽东是下属之郡,怎么能擅称受败职位?","千昭说,袁绍成智,曹公奉天子命,辽东是下属之郡,怎么能擅称受败职位?",牵招说 袁绍承制 曹公奉天子命 辽东是下属之郡 怎么能擅称授拜职位,千昭说 袁绍成智 曹公奉天子命 辽东是下属之郡 怎么能擅称受败职位,千昭说 袁绍成智 曹公奉天子命 辽东是下属之郡 怎么能擅称受败职位,3950.6493270397186
唐纳·席格，是一名美国男导演和监制。,唐纳席格是一位美国男导演和监制。,唐纳席格是一位美国男导演和监制。,唐纳 席格 是一名美国男导演和监制,唐纳席格是一位美国男导演和监制,唐纳席格是一位美国男导演和监制,3950.6493270397186
根据欧洲联盟基本条约，欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内。,"根据欧洲联盟基本条约,欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内。","根据欧洲联盟基本条约,欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内。",根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内,根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内,根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内,3950.6493270397186
拂涅靺鞨，即拂涅部，亦称“大拂涅”。,伏孽墨河及伏孽部亦称大伏孽,伏孽墨河及伏孽部亦稱大伏孽,拂涅靺鞨 即拂涅部 亦称 大拂涅,伏孽墨河及伏孽部亦称大伏孽,伏孽墨河及伏孽部亦稱大伏孽,3950.6493270397186
礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种。,交环灌水母是波水母缸、灌水母木、领状水母科、环灌水母鼠之下的一个深海水母物种。,交环灌水母是波水母缸、灌水母木、领状水母科、环灌水母鼠之下的一个深海水母物种。,礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种,交环灌水母是波水母缸 灌水母木 领状水母科 环灌水母鼠之下的一个深海水母物种,交环灌水母是波水母缸 灌水母木 领状水母科 环灌水母鼠之下的一个深海水母物种,3950.6493270397186
如果无法控制,如果无法控制,如果无法控制,如果无法控制,如果无法控制,如果无法控制,3950.6493270397186
黑龙江省农垦总局友谊农场位于三江平原腹地，今黑龙江省双鸭山市友谊县。,"黑龙江省农坑总局友谊农场位于三江平原腹地,经黑龙江省双鸦山市友谊县。","黑龙江省农坑总局友谊农场位于三江平原腹地,经黑龙江省双鸦山市友谊县。",黑龙江省农垦总局友谊农场位于三江平原腹地 今黑龙江省双鸭山市友谊县,黑龙江省农坑总局友谊农场位于三江平原腹地 经黑龙江省双鸦山市友谊县,黑龙江省农坑总局友谊农场位于三江平原腹地 经黑龙江省双鸦山市友谊县,3950.6493270397186
母王氏；继母田氏。,母王室 季母田室,母王室 季母田室,母王氏 继母田氏,母王室 季母田室,母王室 季母田室,3950.6493270397186
维奥拉‧戴斯蒙德，）是一位加拿大新斯科舍省的非裔加拿大商人。,维奥拉·戴斯蒙德是一位加拿大新斯科舍省的非裔加拿大商人。,维奥拉·戴斯蒙德是一位加拿大新斯科舍省的非裔加拿大商人。,维奥拉 戴斯蒙德 是一位加拿大新斯科舍省的非裔加拿大商人,维奥拉 戴斯蒙德是一位加拿大新斯科舍省的非裔加拿大商人,维奥拉 戴斯蒙德是一位加拿大新斯科舍省的非裔加拿大商人,3950.6493270397186
萧氏也因在轻井泽成立教会和避暑别庄，使当地重新兴盛而被尊为「轻井泽之父」。,萧氏也因在清景泽成立教会和避暑别庄使当地重新兴盛而被尊为清景泽之父,萧氏也因在清景泽成立教会和避暑别庄使当地重新兴盛而被尊为清景泽之父,萧氏也因在轻井泽成立教会和避暑别庄 使当地重新兴盛而被尊为 轻井泽之父,萧氏也因在清景泽成立教会和避暑别庄使当地重新兴盛而被尊为清景泽之父,萧氏也因在清景泽成立教会和避暑别庄使当地重新兴盛而被尊为清景泽之父,3950.6493270397186
加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长，领导加泰罗尼亚各行政机构。,"加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长,领导加泰隆尼亚各行政机构。","加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长,领导加泰隆尼亚各行政机构。",加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰罗尼亚各行政机构,加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰隆尼亚各行政机构,加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰隆尼亚各行政机构,3950.6493270397186
几百年来，大部分原来的绘画和可移动的装饰已经售出。,"几百年来,大部分原来的绘画和可移动的装饰已经售出。","几百年来,大部分原来的绘画和可移动的装饰已经售出。",几百年来 大部分原来的绘画和可移动的装饰已经售出,几百年来 大部分原来的绘画和可移动的装饰已经售出,几百年来 大部分原来的绘画和可移动的装饰已经售出,3950.6493270397186
金寿浩，吉林珲春人，朝鲜族，中国共产党党员。,金寿浩 吉林徽春人 朝鲜族 中国共产党党员,金寿浩 吉林徽春人 朝鲜族 中国共产党党员,金寿浩 吉林珲春人 朝鲜族 中国共产党党员,金寿浩 吉林徽春人 朝鲜族 中国共产党党员,金寿浩 吉林徽春人 朝鲜族 中国共产党党员,3950.6493270397186
直到今天，人们仍然可以在该镇附近看到城墙的痕迹。,"直到今天,人们仍然可以在该镇附近看到城墙的痕迹。","直到今天,人们仍然可以在该镇附近看到城墙的痕迹。",直到今天 人们仍然可以在该镇附近看到城墙的痕迹,直到今天 人们仍然可以在该镇附近看到城墙的痕迹,直到今天 人们仍然可以在该镇附近看到城墙的痕迹,3950.6493270397186
嘉靖三十八年，登进士第三甲第六十六名。,嘉靖38年登晋世第三甲第66名,嘉靖38年登晋世第三甲第66名,嘉靖三十八年 登进士第三甲第六十六名,嘉靖38年登晋世第三甲第66名,嘉靖38年登晋世第三甲第66名,3950.6493270397186
